year,month,region,cnt
2022,2,경북,11540
2022,2,광주,5652
2022,2,대구,17091
2022,2,대전,7902
2022,2,부산,13805
2022,2,서울,41693
2022,2,세종,1902
2022,2,울산,3405
2022,2,인천,13179
2022,2,전남,9203
2022,2,전북,7456
2022,2,제주,26184
2022,2,충남,10525
2022,2,충북,8664
2022,3,강원,8652
2022,3,경기,45891
2022,3,경남,14371
2022,3,경북,12318
2022,3,광주,6015
2022,3,대구,17584
2022,3,대전,8595
2022,3,부산,15330
2022,3,서울,43206
2022,3,세종,2069
2022,3,울산,3789
2022,3,인천,14134
2022,3,전남,9978
2022,3,전북,8404
2022,3,제주,26702
2022,3,충남,11532
2022,3,충북,9683
2022,3,강원,8652
2022,3,경기,45891
2022,3,경남,14371
2022,3,경북,12318
2022,3,광주,6015
2022,3,대구,17584
2022,3,대전,8595
2022,3,부산,15330
2022,3,서울,43206
2022,3,세종,2069
2022,3,울산,3789
2022,3,인천,14134
2022,3,전남,9978
2022,3,전북,8404
2022,3,제주,26702
2022,3,충남,11532
2022,3,충북,9683
2022,4,강원,9117
2022,4,경기,50111
2022,4,경남,14957
2022,4,경북,13018
2022,4,광주,6233
2022,4,대구,18076
2022,4,대전,9550
2022,4,부산,16059
2022,4,서울,45133
2022,4,세종,2180
2022,4,울산,3948
2022,4,인천,15191
2022,4,전남,10658
2022,4,전북,8931
2022,4,제주,26931
2022,4,충남,12142
2022,4,충북,10421
2022,5,강원,9666
2022,5,경기,53239
2022,5,경남,15821
2022,5,경북,13839
2022,5,광주,6462
2022,5,대구,18808
2022,5,대전,10213
2022,5,부산,16630
2022,5,서울,46723
2022,5,세종,2307
2022,5,울산,4134
2022,5,인천,16859
2022,5,전남,11102
2022,5,전북,9310
2022,5,제주,27224
2022,5,충남,12712
2022,5,충북,11209
2022,6,강원,10159
2022,6,경기,56232
2022,6,경남,16486
2022,6,경북,14478
2022,6,광주,6766
2022,6,대구,19705
2022,6,대전,10468
2022,6,부산,17206
2022,6,서울,48362
2022,6,세종,2394
2022,6,울산,4181
2022,6,인천,18329
2022,6,전남,11549
2022,6,전북,9723
2022,6,제주,27622
2022,6,충남,13298
2022,6,충북,11675
2022,7,강원,10857
2022,7,경기,59744
2022,7,경남,17215
2022,7,경북,15663
2022,7,광주,7152
2022,7,대구,20613
2022,7,대전,11267
2022,7,부산,17776
2022,7,서울,49590
2022,7,세종,2480
2022,7,울산,4156
2022,7,인천,19567
2022,7,전남,12580
2022,7,전북,10246
2022,7,제주,28241
2022,7,충남,14051
2022,7,충북,12603
2022,8,강원,11538
2022,8,경기,63314
2022,8,경남,18245
2022,8,경북,16429
2022,8,광주,7397
2022,8,대구,21239
2022,8,대전,11920
2022,8,부산,18507
2022,8,서울,51240
2022,8,세종,2555
2022,8,울산,4184
2022,8,인천,20858
2022,8,전남,13050
2022,8,전북,11353
2022,8,제주,28790
2022,8,충남,14438
2022,8,충북,13210
2022,9,강원,12171
2022,9,경기,67941
2022,9,경남,19453
2022,9,경북,17057
2022,9,광주,7887
2022,9,대구,22329
2022,9,대전,12525
2022,9,부산,19858
2022,9,서울,53798
2022,9,세종,2677
2022,9,울산,4651
2022,9,인천,22375
2022,9,전남,13802
2022,9,전북,12162
2022,9,제주,29556
2022,9,충남,15449
2022,9,충북,13704
2022,10,강원,12845
2022,10,경기,72328
2022,10,경남,20983
2022,10,경북,17859
2022,10,광주,8451
2022,10,대구,23407
2022,10,대전,13385
2022,10,부산,21054
2022,10,서울,55335
2022,10,세종,2825
2022,10,울산,4943
2022,10,인천,24222
2022,10,전남,14437
2022,10,전북,12448
2022,10,제주,30696
2022,10,충남,15987
2022,10,충북,14365
2022,11,강원,13618
2022,11,경기,75811
2022,11,경남,22081
2022,11,경북,18864
2022,11,광주,8733
2022,11,대구,24131
2022,11,대전,14163
2022,11,부산,21916
2022,11,서울,57351
2022,11,세종,2962
2022,11,울산,5030
2022,11,인천,25835
2022,11,전남,14981
2022,11,전북,12622
2022,11,제주,32227
2022,11,충남,16467
2022,11,충북,14933
2022,12,강원,14012
2022,12,경기,77648
2022,12,경남,22740
2022,12,경북,19154
2022,12,광주,9096
2022,12,대구,24161
2022,12,대전,14476
2022,12,부산,22063
2022,12,서울,59327
2022,12,세종,3034
2022,12,울산,5061
2022,12,인천,26242
2022,12,전남,15387
2022,12,전북,12727
2022,12,제주,32976
2022,12,충남,16611
2022,12,충북,15140
2023,1,강원,14065
2023,1,경기,77673
2023,1,경남,22749
2023,1,경북,19150
2023,1,광주,9118
2023,1,대구,24100
2023,1,대전,14450
2023,1,부산,22114
2023,1,서울,59624
2023,1,세종,3081
2023,1,울산,5071
2023,1,인천,26342
2023,1,전남,15449
2023,1,전북,12740
2023,1,제주,32904
2023,1,충남,16617
2023,1,충북,15156
2023,2,강원,14427
2023,2,경기,79880
2023,2,경남,23739
2023,2,경북,19808
2023,2,광주,9542
2023,2,대구,25019
2023,2,대전,14600
2023,2,부산,23481
